,名称,类型,数据来源,频率,源数据映射,是否默认获取,type
0,ts_code,object,fut_basic,NA,,True,fut
1,symbol,object,fut_basic,NA,,True,fut
2,exchange,object,fut_basic,NA,,True,fut
3,name,object,fut_basic,NA,,True,fut
4,fut_code,object,fut_basic,NA,,True,fut
5,multiplier,float64,fut_basic,NA,,True,fut
6,trade_unit,object,fut_basic,NA,,True,fut
7,per_unit,float64,fut_basic,NA,,True,fut
8,quote_unit,object,fut_basic,NA,,True,fut
9,quote_unit_desc,object,fut_basic,NA,,True,fut
10,d_mode_desc,object,fut_basic,NA,,True,fut
11,list_date,object,fut_basic,NA,,True,fut
12,delist_date,object,fut_basic,NA,,True,fut
13,d_month,object,fut_basic,NA,,True,fut
14,last_ddate,object,fut_basic,NA,,True,fut
15,trade_time_desc,object,fut_basic,NA,,False,fut
16,exchange,object,trade_cal,NA,,True,fut
17,cal_date,object,trade_cal,NA,,True,fut
18,is_open,int64,trade_cal,NA,,True,fut
19,pretrade_date,object,trade_cal,NA,,False,fut
20,ts_code,object,fut_daily,daily,,True,fut
21,trade_date,object,fut_daily,daily,,True,fut
22,pre_close,object,fut_daily,daily,,True,fut
23,pre_settle,object,fut_daily,daily,,True,fut
24,open,object,fut_daily,daily,,True,fut
25,high,object,fut_daily,daily,,True,fut
26,low,object,fut_daily,daily,,True,fut
27,close,object,fut_daily,daily,,True,fut
28,settle,object,fut_daily,daily,,True,fut
29,change1,object,fut_daily,daily,,True,fut
30,change2,object,fut_daily,daily,,True,fut
31,vol,object,fut_daily,daily,,True,fut
32,amount,object,fut_daily,daily,,True,fut
33,oi,object,fut_daily,daily,,True,fut
34,oi_chg,object,fut_daily,daily,,True,fut
35,delv_settle,object,fut_daily,daily,,False,fut
36,trade_date,object,fut_wsr,NA,,True,fut
37,symbol,object,fut_wsr,NA,,True,fut
38,fut_name,object,fut_wsr,NA,,True,fut
39,warehouse,object,fut_wsr,NA,,True,fut
40,wh_id,object,fut_wsr,NA,,False,fut
41,pre_vol,float64,fut_wsr,NA,,True,fut
42,vol,float64,fut_wsr,NA,,True,fut
43,vol_chg,int64,fut_wsr,NA,,True,fut
44,area,object,fut_wsr,NA,,False,fut
45,year,float64,fut_wsr,NA,,False,fut
46,grade,object,fut_wsr,NA,,False,fut
47,brand,object,fut_wsr,NA,,False,fut
48,place,object,fut_wsr,NA,,False,fut
49,pd,float64,fut_wsr,NA,,False,fut
50,is_ct,object,fut_wsr,NA,,False,fut
51,unit,object,fut_wsr,NA,,True,fut
52,exchange,object,fut_wsr,NA,,False,fut
53,ts_code,object,fut_settle,NA,,True,fut
54,trade_date,object,fut_settle,NA,,True,fut
55,settle,object,fut_settle,NA,,True,fut
56,trading_fee_rate,object,fut_settle,NA,,True,fut
57,trading_fee,object,fut_settle,NA,,True,fut
58,delivery_fee,object,fut_settle,NA,,True,fut
59,b_hedging_margin_rate,object,fut_settle,NA,,True,fut
60,s_hedging_margin_rate,object,fut_settle,NA,,True,fut
61,long_margin_rate,object,fut_settle,NA,,True,fut
62,short_margin_rate,object,fut_settle,NA,,True,fut
63,offset_today_fee,object,fut_settle,NA,,False,fut
64,exchange,object,fut_settle,NA,,False,fut
65,trade_date,object,fut_holding,NA,,True,fut
66,symbol,object,fut_holding,NA,,True,fut
67,broker,object,fut_holding,NA,,True,fut
68,vol,float64,fut_holding,NA,,True,fut
69,vol_chg,float64,fut_holding,NA,,True,fut
70,long_hld,float64,fut_holding,NA,,True,fut
71,long_chg,float64,fut_holding,NA,,True,fut
72,short_hld,float64,fut_holding,NA,,True,fut
73,short_chg,float64,fut_holding,NA,,True,fut
74,exchange,object,fut_holding,NA,,False,fut
75,ts_code,object,index_daily,daily,,True,fut
76,trade_date,object,index_daily,daily,,True,fut
77,close,object,index_daily,daily,,True,fut
78,open,object,index_daily,daily,,True,fut
79,high,object,index_daily,daily,,True,fut
80,low,object,index_daily,daily,,True,fut
81,pre_close,object,index_daily,daily,,True,fut
82,change,object,index_daily,daily,,True,fut
83,pct_chg,object,index_daily,daily,,True,fut
84,vol,object,index_daily,daily,,True,fut
85,amount,object,index_daily,daily,,True,fut
86,ts_code,object,fut_mapping,NA,,True,fut
87,trade_date,object,fut_mapping,NA,,True,fut
88,mapping_ts_code,object,fut_mapping,NA,,True,fut
89,exchange,object,fut_weekly_detail,weekly,,True,fut
90,prd,object,fut_weekly_detail,weekly,,True,fut
91,name,object,fut_weekly_detail,weekly,,True,fut
92,vol,float64,fut_weekly_detail,weekly,,True,fut
93,vol_yoy,float64,fut_weekly_detail,weekly,,True,fut
94,amount,float64,fut_weekly_detail,weekly,,True,fut
95,amout_yoy,float64,fut_weekly_detail,weekly,,True,fut
96,cumvol,float64,fut_weekly_detail,weekly,,True,fut
97,cumvol_yoy,float64,fut_weekly_detail,weekly,,True,fut
98,cumamt,float64,fut_weekly_detail,weekly,,True,fut
99,cumamt_yoy,float64,fut_weekly_detail,weekly,,True,fut
100,open_interest,float64,fut_weekly_detail,weekly,,True,fut
101,interest_wow,float64,fut_weekly_detail,weekly,,True,fut
102,mc_close,float64,fut_weekly_detail,weekly,,True,fut
103,close_wow,float64,fut_weekly_detail,weekly,,True,fut
104,week,object,fut_weekly_detail,weekly,,True,fut
105,week_date,object,fut_weekly_detail,weekly,,True,fut
